id,nume,categorie,pret,clasa,consum_energetic,rating,nr_reviewuri,url_produs,imagine_url,Producator,Volum,Inaltime,Alb,Argintiu,O_usa,Doua_usi,Minibar
36,"Frigider cu o usa Candy CHASD4385EWC, 90 l, Clasa E, H 85 cm, Alb",Frigidere,762.52,E,85,4.67,3,https://www.emag.ro/frigider-cu-o-usa-candy-90-l-clasa-e-h-85-cm-alb-chasd4385ewc/pd/D4MTQNYBM/,https://s13emagst.akamaized.net/products/66292/66291752/images/res_928ea97923c250b6fa25b8f77e2ab1b0.jpg?width=720&height=720&hash=72C760EB53A2FDD86EC7A65943BB7DA2,Candy,90,85,1,0,1,0,0
37,"Frigider cu doua usi Samsung RT35CG5644S9EO, 348 l, No Frost, All Around Cooling, Optimal Fresh+, WiFi SmartThings, Digital Inverter, Clasa E, H 171 cm, Inox",Frigidere,2820.72,E,226,4.89,9,https://www.emag.ro/frigider-cu-doua-usi-samsung-348-l-no-frost-all-around-cooling-optimal-fresh-wifi-smartthings-digital-inverter-clasa-e-h-171-cm-inox-rt35cg5644s9eo/pd/D2PQQ3YBM/,https://s13emagst.akamaized.net/products/60768/60767289/images/res_c84b50495c36d9fed7f53774c6544f28.jpg?width=720&height=720&hash=CDE1F2038995AF5F70B830079E1F9146,Samsung,348,171,0,1,0,1,0
38,"Frigider cu doua usi Beko B5RDNE504LDXB, 477 l, No Frost, HarvestFresh, Everfresh+, AeroFlow, Display, Compartiment 0°C, Clasa E, H 185 cm, Metal Look",Frigidere,3499.98,E,274,5,4,https://www.emag.ro/frigider-cu-doua-usi-beko-477-l-no-frost-harvestfresh-everfresh-aeroflow-display-compartiment-0-c-clasa-e-h-185-cm-metal-look-b5rdne504ldxb/pd/DZC4Y6MBM/,https://s13emagst.akamaized.net/products/53643/53642701/images/res_5ce6496135995ce05f4f61ed5cd677e8.jpg?width=720&height=720&hash=F50068D672C73000B18DC1B68ADE8B94,Beko,477,185,0,1,0,1,0
39,"Frigider cu doua usi Arctic AD60310M40MT, 306 l, Clasa E, Garden fresh, H 175 cm, Argintiu",Frigidere,1599.9,E,208,5,2,https://www.emag.ro/frigider-cu-doua-usi-arctic-306-l-clasa-e-garden-fresh-h-175-cm-argintiu-ad60310m40mt/pd/D7BLWFYBM/,https://s13emagst.akamaized.net/products/72026/72025033/images/res_5f6b166eb217a2b3c58a92acf479f008.jpg?width=720&height=720&hash=745292BAA54E3FCA6E5D5782FBEC148D,Arctic,306,175,0,1,0,1,0
40,"Frigider cu doua usi Beko B5RDNE504LDM, 477 l, HarvestFresh™, AeroFlow™, Everfresh+®, No Frost, Slim tank water dispenser, Display, Clasa E H 186,5 cm, Glossy Grey",Frigidere,3549.98,E,274,4.67,6,https://www.emag.ro/frigider-cu-doua-usi-beko-477-l-harvestfreshtm-aeroflowtm-everfresh-r-no-frost-slim-tank-water-dispenser-display-clasa-e-h-186-5-cm-glossy-grey-b5rdne504ldm/pd/DF9JMZMBM/,https://s13emagst.akamaized.net/products/48993/48992229/images/res_9a379b774fddd035b946f037c9ba4466.jpg?width=720&height=720&hash=BF98F5A7EC692851E348C22987EAA374,Beko,477,186,0,1,0,1,0
41,"Frigider cu doua usi Heinner HF-HS205E++, 206 l, Clasa E, lumina LED, 3 rafturi de sticla, H 143.4 cm, Alb",Frigidere,1074.96,E,176,0,0,https://www.emag.ro/frigider-cu-doua-usi-heinner-206-l-clasa-e-lumina-led-3-rafturi-de-sticla-h-143-4-cm-alb-hf-hs205e/pd/D055K5YBM/,https://s13emagst.akamaized.net/products/81534/81533978/images/res_dc890cc532002eaf9ecc658b6a1ad54e.jpg?width=720&height=720&hash=79AAD12592A7532CC6E136707852727F,Heinner,206,143,1,0,0,1,0
42,"Frigider cu o usa STARCREST SF-83IX-E, Clasa E, Capacitate 83L, Iluminare interioara, Compartiment gheata, H 85 cm, Inox",Frigidere,709,E,84,4.9,21,https://www.emag.ro/frigider-cu-o-usa-starcrest-clasa-e-capacitate-83l-iluminare-interioara-compartiment-gheata-h-85-cm-inox-sf-83ix-e/pd/DB1CYSYBM/,https://s13emagst.akamaized.net/products/72937/72936915/images/res_e91d13890c45a4b014bd6c277e3c3cbf.jpg?width=720&height=720&hash=6E22268536E56A3AA2306718AF1CA5BC,STARCREST,83,85,0,1,1,0,0
43,"Frigider cu 2 usi Daewoo Static, congelatorul sus, volum net 204L, control mecanic, usi reversibile, raft pentru sticle, clasa E, Alb",Frigidere,1004.93,E,176,0,0,https://www.emag.ro/frigider-cu-2-usi-daewoo-static-congelatorul-sus-volum-net-204l-control-mecanic-usi-reversibile-raft-pentru-sticle-clasa-e-alb-dts-207mew/pd/DMNJPZYBM/,https://s13emagst.akamaized.net/products/77949/77948912/images/res_1a76cdc2fb13a1cd6b0df09be18682f7.jpg?width=720&height=720&hash=42EB1742BB7CC1D5FD09C46A748F1879,Daewoo,204,184,1,0,0,0,0
44,"Frigider cu doua usi LG GTF916PZPED, 592 l, No Frost, Clasa E, Compresor Inverter, WiFi, DoorCooling+, Mirror Touch Display, Dozator apa, H 184 cm, Argintiu",Frigidere,4499.99,E,323,4.6,5,https://www.emag.ro/frigider-cu-doua-usi-lg-592-l-no-frost-clasa-e-compresor-inverter-wifi-doorcooling-mirror-touch-display-dozator-apa-h-184-cm-argintiu-gtf916pzped/pd/D31N3SYBM/,https://s13emagst.akamaized.net/products/73057/73056897/images/res_2405b9707927117b3dc16d3ac426285e.jpg?width=720&height=720&hash=36CE3D3CEDD32D846EB7DB56BAFA7176,LG,592,185,0,1,0,1,0
45,"Frigider cu doua usi Beko RDSE465K40WN, 437 l, Clasa E, Cooling Fan, Safety Glass, H 185 cm, Alb",Frigidere,2304.97,E,254,4.75,8,https://www.emag.ro/frigider-cu-doua-usi-beko-437-l-clasa-e-cooling-fan-safety-glass-h-185-cm-alb-rdse465k40wn/pd/DVSK5KYBM/,https://s13emagst.akamaized.net/products/65430/65429269/images/res_57b598fd600c1fd1d8868578d2bb5a67.png?width=720&height=720&hash=99C123C48EADF05112D68BCFC56AC25F,Beko,437,172,1,0,0,1,0
