"Product_Index","Original_Price","Random Forest_Predicted","Random Forest_AbsoluteError","Random Forest_PercentError","SVM_Predicted","SVM_AbsoluteError","SVM_PercentError"
225,1689.8,1440.03,249.77,14.78,1764.19,74.39,4.4
226,1099.91,1319.73,219.82,19.99,1323.21,223.3,20.3
227,2499,2053.6,445.4,17.82,1763.92,735.08,29.41
228,5699.98,2471.05,3228.93,56.65,2861.13,2838.85,49.8
229,1399.99,1334.63,65.36,4.67,1490.72,90.73,6.48
230,1299,1318.85,19.85,1.53,1328.56,29.56,2.28
231,1581.51,1747.34,165.83,10.49,2028.1,446.59,28.24
232,799,869.68,70.68,8.85,883.47,84.47,10.57
233,2685,2512.71,172.29,6.42,2346.25,338.75,12.62
234,1999,1724.24,274.76,13.74,1674.92,324.08,16.21
235,4343.5,3393.27,950.23,21.88,2851.02,1492.48,34.36
236,1102.99,1421.88,318.89,28.91,1474.52,371.53,33.68
237,5414.5,4714.08,700.42,12.94,5085.36,329.14,6.08
238,3759.99,2971.94,788.05,20.96,3531.32,228.67,6.08
239,1271.59,1246.52,25.07,1.97,1269.85,1.74,0.14
240,5999.99,4335.47,1664.52,27.74,3316.91,2683.08,44.72
241,1099.91,1364.93,265.02,24.09,1672.37,572.46,52.05
242,2090,2924,834,39.9,2163.5,73.5,3.52
243,2293.87,2244.8,49.07,2.14,2527.1,233.23,10.17
244,1799.98,1928.59,128.61,7.15,1690.15,109.83,6.1
245,1277.59,1356.79,79.2,6.2,1506.15,228.56,17.89
246,1785,1385.65,399.35,22.37,1900.14,115.14,6.45
247,3699.98,2084.13,1615.85,43.67,1835.55,1864.43,50.39
248,1699,1688.77,10.23,0.6,1809.06,110.06,6.48
249,2499,2211.77,287.23,11.49,1741.02,757.98,30.33
250,1547,1260.45,286.55,18.52,1067.05,479.95,31.02
251,4149.99,3864.96,285.03,6.87,3965.4,184.59,4.45
252,4499.98,4588.24,88.26,1.96,4794.81,294.83,6.55
253,3199.99,2563.1,636.89,19.9,2179.18,1020.81,31.9
254,1368.55,1415.54,46.99,3.43,1456.89,88.34,6.46
255,1199.98,1529.67,329.69,27.47,1789.3,589.32,49.11
256,1999,2046.69,47.69,2.39,2123.85,124.85,6.25
257,6299.99,5348.89,951.1,15.1,5384.06,915.93,14.54
258,7699.98,4228.86,3471.12,45.08,3788.1,3911.88,50.8
259,1229,1086.79,142.21,11.57,893.93,335.07,27.26
260,1075,1303.66,228.66,21.27,1475.4,400.4,37.25
261,2899.99,2634.12,265.87,9.17,2618.04,281.95,9.72
262,1064,1074.55,10.55,0.99,1176.48,112.48,10.57
263,1045.99,1311.45,265.46,25.38,1505.35,459.36,43.92
264,2499,2253.18,245.82,9.84,2660.43,161.43,6.46
265,2272.9,2653.12,380.22,16.73,2033.5,239.4,10.53
266,4999,4492.97,506.03,10.12,3687.82,1311.18,26.23
267,1832.6,1403.94,428.66,23.39,1370.9,461.7,25.19
268,2199,2350.92,151.92,6.91,1954.47,244.53,11.12
269,2799,2373.68,425.32,15.2,2541.48,257.52,9.2
270,2099.9,2337.66,237.76,11.32,2207.81,107.91,5.14
271,3617.6,3555.26,62.34,1.72,3396.91,220.69,6.1
272,2685,2371.72,313.28,11.67,2465.2,219.8,8.19
273,4799.98,4467.99,331.99,6.92,4427.75,372.23,7.75
274,869.98,904.87,34.89,4.01,817.11,52.87,6.08
275,2497.99,2573.66,75.67,3.03,2602.55,104.56,4.19
276,1288.99,1554.34,265.35,20.59,2263.12,974.13,75.57
277,1220.65,1309.32,88.67,7.26,1451.81,231.16,18.94
278,955,958.66,3.66,0.38,919.03,35.97,3.77
279,749,768,19,2.54,703.41,45.59,6.09
280,2189.99,1890.42,299.57,13.68,1502.18,687.81,31.41
281,2685,1560.33,1124.67,41.89,1587.84,1097.16,40.86
282,695.64,651.25,44.39,6.38,740.66,45.02,6.47
283,1320.49,1238.04,82.45,6.24,1377.04,56.55,4.28
284,2799.98,2390.31,409.67,14.63,2732.54,67.44,2.41
285,749,720.8,28.2,3.77,765.98,16.98,2.27
286,2999.98,2315.69,684.29,22.81,2131.95,868.03,28.93
287,1205.47,1871.6,666.13,55.26,1716.52,511.05,42.39
288,2199,2186.4,12.6,0.57,2054.54,144.46,6.57
289,2524.8,2565.79,40.99,1.62,2521.89,2.91,0.12
290,2469.9,2591.14,121.24,4.91,2763.73,293.83,11.9
291,548.99,580.68,31.69,5.77,644.24,95.25,17.35
292,1849.9,1527.15,322.75,17.45,1618.39,231.51,12.51
293,3999.9,4294.55,294.65,7.37,4259.18,259.28,6.48
294,1899.99,1914.52,14.53,0.76,1456.95,443.04,23.32
295,999.01,1728.6,729.59,73.03,1297.16,298.15,29.84
296,3048.98,2739.94,309.04,10.14,2865.85,183.13,6.01
297,2499,2433.02,65.98,2.64,1866.62,632.38,25.31
298,3129.7,3399.29,269.59,8.61,3059.21,70.49,2.25
299,2599,2654.34,55.34,2.13,2855.89,256.89,9.88
300,2177,2467.39,290.39,13.34,2190.84,13.84,0.64
301,2099.99,1494.99,605,28.81,954.52,1145.47,54.55
302,2339.99,1562.54,777.45,33.22,1850.58,489.41,20.92
303,2261,2312.76,51.76,2.29,2167.7,93.3,4.13
304,1693.87,2030.25,336.38,19.86,1720.02,26.15,1.54
305,2524.8,2453.54,71.26,2.82,2013.84,510.96,20.24
306,4760,3558.53,1201.47,25.24,2907.56,1852.44,38.92
307,1643.89,1550.61,93.28,5.67,1429.53,214.36,13.04
308,1844.5,1593.15,251.35,13.63,1451.35,393.15,21.31
309,1399.99,1314.97,85.02,6.07,1314.81,85.18,6.08
310,2449,2480.26,31.26,1.28,2299.53,149.47,6.1
311,2999,2635.43,363.57,12.12,2424.42,574.58,19.16
312,2888.99,3401.28,512.29,17.73,4836.53,1947.54,67.41
313,1699,1948.47,249.47,14.68,1809.33,110.33,6.49
314,2949.98,2372.64,577.34,19.57,1793.54,1156.44,39.2
315,2599,2364.22,234.78,9.03,1692.6,906.4,34.87
316,1384.49,2144.05,759.56,54.86,2494.19,1109.7,80.15
317,2915.5,3234.32,318.82,10.94,3107.35,191.85,6.58
318,1099.99,1218.92,118.93,10.81,1567.13,467.14,42.47
319,3699.98,3591.31,108.67,2.94,3761.77,61.79,1.67
320,2049.91,2511.83,461.92,22.53,3193.89,1143.98,55.81
321,7399.98,3850.01,3549.97,47.97,4506.74,2893.24,39.1
322,1545.81,1848.8,302.99,19.6,1646.02,100.21,6.48
323,1149,1544.86,395.86,34.45,1237.64,88.64,7.71
324,4141.2,2827.85,1313.35,31.71,3665.38,475.82,11.49
325,4699.98,3985.45,714.53,15.2,4187.2,512.78,10.91
326,586.99,608.09,21.1,3.59,706.37,119.38,20.34
327,1285.2,1343.56,58.36,4.54,1029.1,256.1,19.93
328,1999,1468.48,530.52,26.54,1203.03,795.97,39.82
329,2393.95,2151.08,242.87,10.15,2549.6,155.65,6.5
330,3272.5,2368.46,904.04,27.63,2628.38,644.12,19.68
331,2975,2860.75,114.25,3.84,2793.79,181.21,6.09
332,4522,3984.67,537.33,11.88,2731.29,1790.71,39.6
333,1260,1469.57,209.57,16.63,1778.16,518.16,41.12
334,2796.5,2748.8,47.7,1.71,2858.03,61.53,2.2
335,3150,2737.07,412.93,13.11,2958.12,191.88,6.09
336,1880.19,1323.38,556.81,29.61,1204.8,675.39,35.92
337,3899.04,4118.02,218.98,5.62,4151.58,252.54,6.48
338,3808,3638.55,169.45,4.45,2876.47,931.53,24.46
339,3189.2,2888.84,300.36,9.42,2827.37,361.83,11.35
340,2299,2363.51,64.51,2.81,2374.76,75.76,3.3
341,1999.2,1856.01,143.19,7.16,1788.97,210.23,10.52
342,5170.55,4583.23,587.32,11.36,4259.99,910.56,17.61
343,1249.99,1333.04,83.05,6.64,1262.99,13,1.04
344,1699,1716.51,17.51,1.03,1504.65,194.35,11.44
345,1699.98,1567.52,132.46,7.79,1184.52,515.46,30.32
346,3199.9,3240.4,40.5,1.27,2663.48,536.42,16.76
347,2193.91,2162.15,31.76,1.45,2091.18,102.73,4.68
348,1904,1773.25,130.75,6.87,1787.99,116.01,6.09
