"Product_Index","Original_Price","Random Forest_Predicted","Random Forest_AbsoluteError","Random Forest_PercentError","SVM_Predicted","SVM_AbsoluteError","SVM_PercentError"
479,3999,4165.95,166.95,4.17,3406.8,592.2,14.81
480,4598.99,4327.45,271.54,5.9,2083.54,2515.45,54.7
481,4522,2921.94,1600.06,35.38,1728.37,2793.63,61.78
482,3296.3,2179.36,1116.94,33.88,1746.26,1550.04,47.02
483,11781,3780.45,8000.55,67.91,4539.76,7241.24,61.47
484,12298.65,3782.25,8516.4,69.25,4819.98,7478.67,60.81
485,5898.95,4901.46,997.49,16.91,4944.22,954.73,16.18
486,9853.2,2484.52,7368.68,74.78,2505.47,7347.73,74.57
487,8758.4,1982.74,6775.66,77.36,2364.23,6394.17,73.01
488,9020.2,4292.7,4727.5,52.41,4451.73,4568.47,50.65
489,2112.25,1890.54,221.71,10.5,1513.26,598.99,28.36
490,9998.98,4655.91,5343.07,53.44,7201.09,2797.89,27.98
491,9799.06,4732.67,5066.39,51.7,6617.26,3181.8,32.47
492,6574.75,4146.73,2428.02,36.93,2969.1,3605.65,54.84
493,5898.95,3612.09,2286.86,38.77,3605.87,2293.08,38.87
494,7499.02,4760.59,2738.43,36.52,5211.22,2287.8,30.51
495,5798.99,4350.49,1448.5,24.98,3707.86,2091.13,36.06
496,7898.98,4358.81,3540.17,44.82,4920.91,2978.07,37.7
497,5498.99,4148.43,1350.56,24.56,2612.33,2886.66,52.49
498,6498.95,4775.53,1723.42,26.52,6102.63,396.32,6.1
499,5898.95,4498.75,1400.2,23.74,3403.15,2495.8,42.31
500,3159.45,2255.61,903.84,28.61,2093.54,1065.91,33.74
501,5182.45,3913.79,1268.66,24.48,1945.72,3236.73,62.46
502,952,1052.22,100.22,10.53,1433.66,481.66,50.59
503,5798.99,4954.8,844.19,14.56,4754.87,1044.12,18.01
504,719.98,705.95,14.03,1.95,758.91,38.93,5.41
505,3399.99,3906.52,506.53,14.9,3621.32,221.33,6.51
506,3039.99,2236.35,803.64,26.44,1731.21,1308.78,43.05
507,1699.99,1603.89,96.1,5.65,1809.62,109.63,6.45
508,1699.99,1708.71,8.72,0.51,2144,444.01,26.12
509,2299.99,2579.41,279.42,12.15,2708.27,408.28,17.75
510,1699.99,1088.14,611.85,35.99,1275.46,424.53,24.97
511,3299.98,2149.37,1150.61,34.87,1811.29,1488.69,45.11
512,1829.99,2306.89,476.9,26.06,2438.31,608.32,33.24
513,1099.99,1622.66,522.67,47.52,1462.43,362.44,32.95
514,2139.99,2645.03,505.04,23.6,2812.46,672.47,31.42
515,1999.99,1979.73,20.26,1.01,1878.43,121.56,6.08
516,1569.99,1931.22,361.23,23.01,2177.33,607.34,38.68
517,1099.99,1217.61,117.62,10.69,1346.21,246.22,22.38
518,4599.99,4032.99,567,12.33,3905.98,694.01,15.09
519,1399.99,1515.68,115.69,8.26,1478.73,78.74,5.62
520,1299.99,1429.13,129.14,9.93,1384.38,84.39,6.49
521,999.99,1302.26,302.27,30.23,1601.54,601.55,60.16
522,1839.99,2067.34,227.35,12.36,1954.4,114.41,6.22
523,1799.99,1680.57,119.42,6.63,1655.56,144.43,8.02
524,1059.99,1563.83,503.84,47.53,1486.38,426.39,40.23
525,2699.99,3147.11,447.12,16.56,2705.56,5.57,0.21
526,3199.99,3623.35,423.36,13.23,3408.41,208.42,6.51
527,1599.99,1913.93,313.94,19.62,1703.68,103.69,6.48
528,4999.99,4438.73,561.26,11.23,3840.09,1159.9,23.2
529,1599.99,1530.08,69.91,4.37,1495.14,104.85,6.55
530,3209.99,2392.26,817.73,25.47,1407.19,1802.8,56.16
531,2289.99,2499.36,209.37,9.14,2150.61,139.38,6.09
