"Model","MAE","MSE","RMSE","MAPE","R2","Cluster"
"Random Forest",535.908155491379,669294.873422716,818.104439190203,22.9060084118257,0.605090774565105,"2"
"SVM",579.789179927607,693306.330366703,832.650184871596,26.1567612051745,0.59092310910127,"2"
